"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2076",185,"RT @LincolnsBoombox: Victorian Steam for your anachronistic needs! http://t.co/7dyQsdbg3u    #Sony #iPad #iPhone #Samsung #Galaxy #SXSW htt‚Ä¶",FALSE,0,NA,"2014-03-17 18:03:00",FALSE,NA,"445621335436169216",NA,"web","VictorianSteam",1,TRUE,FALSE,NA,NA
"3114",34,"Install official #Kitkat 4.4.2 Build on #Galaxy #S4 http://t.co/ItNERxwhxX Via http://t.co/9u1Onlrmza",FALSE,0,NA,"2014-03-19 22:46:23",FALSE,NA,"446417429489811456",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Nacho_Daza",0,FALSE,FALSE,NA,NA
"3663",89,"And you try not to stare at the kissing couple. That's rude! #iPad #Sony #Italy #Samsung #Galaxy #Tab #Altec",FALSE,3,NA,"2014-03-23 21:46:59",FALSE,NA,"447852031831580672",NA,"web","LincolnsBoombox",2,FALSE,FALSE,NA,NA
"1055",61,"New galaxy board shorts! LOVE! #aeo #boardshorts #galaxy #summerready http://t.co/1xoIxg74lp",FALSE,0,NA,"2014-03-17 21:47:48",FALSE,NA,"445677909173633025",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Theeddig",0,FALSE,FALSE,NA,NA
"4043",71,"RT @maximaxoo: #Space #Art: illustration sequence of the #MilkyWay &amp; #Andromeda #galaxy colliding ‚ñ∫ http://t.co/Qy5v76Roi7 http://t.co/vo6m‚Ä¶",FALSE,0,NA,"2014-03-25 21:57:35",FALSE,NA,"448579475035258880",NA,"web","SeasideSunsongs",75,TRUE,FALSE,NA,NA
"3669",95,"Paintings and projects. #painting #art #galaxy #project #school #space #woman http://t.co/IjmsfOxFRC",FALSE,0,NA,"2014-03-23 21:38:08",FALSE,NA,"447849805218193408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Spootsprite",0,FALSE,FALSE,NA,NA
"508",211,"Ontario CAN Brampton http://t.co/9Kgf471iQ0 BREAKING NEWS 843  vanisan24  #samsung #em #receba #at #ofertas #galaxy",FALSE,0,NA,"2014-03-17 17:04:02",FALSE,NA,"445606498358792192",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","vanisan24",0,FALSE,FALSE,NA,NA
"3321",42,"I think I'm gonna join #iPhone or #Galaxy , cause I can't with window 8 Ì†ΩÌ∏ìÌ†ΩÌ∏≠",FALSE,0,NA,"2014-03-20 22:25:06",FALSE,NA,"446774461384388608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","_MeekWifeyy",0,FALSE,FALSE,NA,NA
"639",43,"#Samsung #Galaxy S3 Slim with 4.5 inch display and quad core processor unveiled in Brazil http://t.co/RDGTTTAfwi",FALSE,0,NA,"2014-03-19 08:41:06",FALSE,NA,"446204704360374273",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Shaitaaaaan",0,FALSE,FALSE,NA,NA
"1470",177,"RT @danidaninja: Shop bikinimissfits  
Photo by @urbanposhture 
#galaxy #swim #swimsuit #swimwear #curvesforthegirls http://t.co/YmUl3Xh7ag",FALSE,0,NA,"2014-03-17 18:23:05",FALSE,NA,"445626391820656640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sd0tBoogie",1,TRUE,FALSE,NA,NA
"2399",10,"#Big #boobs #kely #from #Flagstaff #tied #in #bondage [#Galaxy #escorts 693]:  http://t.co/Wb1ANPWPCn",FALSE,0,NA,"2014-03-21 23:33:14",FALSE,NA,"447153994964537344",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","anauanale",0,FALSE,FALSE,NA,NA
"2333",143,"RT @FROMLINY: Photo: Our spring collection arrived get the #city x #galaxy #limitededition 100% polyester tee only... http://t.co/2MabtIc9JJ",FALSE,0,NA,"2014-03-19 20:06:52",FALSE,NA,"446377285117956096",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","adebk",1,TRUE,FALSE,NA,NA
"936",241,"Is your mobile old &amp; tired? Time for a new #Galaxy S4 Active; Highly recommended, http://t.co/JzluS0L0IJ",FALSE,0,NA,"2014-03-17 16:03:45",FALSE,NA,"445591324092551168",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","EasyDealMobiles",0,FALSE,FALSE,NA,NA
"3088",8,"RT @emillson: yess phones updating #kitkat #galaxy",FALSE,0,NA,"2014-03-19 23:41:29",FALSE,NA,"446431293581324290",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CBurakDofficial",2,TRUE,FALSE,NA,NA
"3148",68,"RT @maximaxoo: #Space: #Andromeda #galaxy in different wavelengths
http://t.co/akW9U8ZYlo via @sagansense http://t.co/LB4kYSn7AX",FALSE,0,NA,"2014-03-19 22:07:19",FALSE,NA,"446407596615159809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ozveldo",78,TRUE,FALSE,NA,NA
"3807",134,"#Galaxy 'Guardians Of The Galaxy' Proves How Badass It Will Be In One Picture http://t.co/zZgXnXUGPj",FALSE,0,NA,"2014-03-24 18:47:47",FALSE,NA,"448169321651396608",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","voxexevule",0,FALSE,FALSE,NA,NA
"834",139,"I start to play Friday #lol #geek #paris #ps3 #gamer #psvita #player #tokyo #pc #galaxy #note #2‚Ä¶ http://t.co/DSRO6t88CV",FALSE,0,NA,"2014-03-17 19:22:07",FALSE,NA,"445641244686180353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","0takudo",0,FALSE,FALSE,NA,NA
"2069",178,"RT @SamsungMobile: @AvivahMakky The #GALAXY Grand 2 is now available worldwide. For more info about availability, we recommend speaking to ‚Ä¶",FALSE,0,NA,"2014-03-17 18:21:09",FALSE,NA,"445625904685780992",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","AvivahMakky",2,TRUE,FALSE,NA,NA
"4044",72,"RT @maximaxoo: #Space #Art: illustration sequence of the #MilkyWay &amp; #Andromeda #galaxy colliding ‚ñ∫ http://t.co/Qy5v76Roi7 http://t.co/vo6m‚Ä¶",FALSE,0,NA,"2014-03-25 21:57:30",FALSE,NA,"448579451610476545",NA,"web","Varyoga",75,TRUE,FALSE,NA,NA
"2042",151,"Unlocked iPhones &amp; Samsung Galaxy phones now available in major US cities http://t.co/u6dF1scG0b #iphone #galaxy #Miami #NewJersey",FALSE,0,NA,"2014-03-17 19:01:40",FALSE,NA,"445636101945176064",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","expertz_ca",0,FALSE,FALSE,NA,NA
"3695",22,"Unlocked iPhones &amp; Samsung Galaxy phones now available in major US cities http://t.co/u6dF1scG0b #iphone #galaxy #Miami #NewJersey",FALSE,0,NA,"2014-03-24 23:02:04",FALSE,NA,"448233314869325824",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","expertz_ca",0,FALSE,FALSE,NA,NA
"1063",69,"RT @CortesDayna: Fuck missing the #iPhone. The #galaxy has everything better #music #camera #emoji #TeamGalaxys4 http://t.co/NgRBAv9EQJ",FALSE,0,NA,"2014-03-17 21:22:42",FALSE,NA,"445671593805500416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","missnaomiduke_",3,TRUE,FALSE,NA,NA
